"PMID","ncol","nrow","nwithbatch","deceased"
"15897565",63,11627,63,0
"16996261",54,13686,0,0
"17290060",117,11657,117,67
"18593951",195,11483,195,129
"18698038",285,16814,285,113
"19047114",83,5764,0,15
"19192944",157,18665,0,113
"19294737",80,11659,80,21
"19318476",42,11676,42,22
"19440550",103,11658,103,0
"19486012",53,15964,0,0
"19962670",63,15961,63,41
"20300634",110,17981,0,46
"20492709",140,17054,140,0
"20547991",28,17442,28,17
"20547991",42,8532,42,23
"21720365",261,20501,0,143
"21720365",554,799,0,286
"21720365",578,11920,577,290
"22101765",107,17016,107,76
"22241791",40,17979,0,22
"22241791",260,18291,0,121
"22348002",129,9708,0,73
"22348014",58,17428,58,36
"22492981",103,363,0,57
"22497737",204,15882,0,57
"23934190",60,16853,60,0
"24368280",172,8170,0,112
"PMID unknown",66,5048,66,0
"PMID unknown",204,16674,204,0
